model,arm,generation,m1_mean,m1_std,m2_mean,m2_std,m3_mean,m3_std,m5_mean,m5_std,n
haiku,ESCALAR,1,1,0,,,1,0,,,3
haiku,ESCALAR,2,1,0,,,7,0,,,3
haiku,ESCALAR,3,1,0,,,13.333333333333334,0.4714045207910317,,,3
haiku,ESCALAR,4,0.6666666666666666,0.4714045207910317,0,0,13.333333333333334,0.4714045207910317,,,3
haiku,ESCALAR,5,0.3333333333333333,0.4714045207910317,0,0,13.333333333333334,0.4714045207910317,,,3
haiku,GRADIENTE,1,0.3333333333333333,0.4714045207910317,0,0,0,0,,,3
haiku,GRADIENTE,2,0.6666666666666666,0.4714045207910317,1,0,2.3333333333333335,2.6246692913372702,,,3
haiku,GRADIENTE,3,0.6666666666666666,0.4714045207910317,1,0,6.333333333333333,4.9216076867444665,,,3
haiku,GRADIENTE,4,1,0,,,10.666666666666666,2.6246692913372702,,,3
haiku,GRADIENTE,5,1,0,,,13,0.816496580927726,,,3
