model,arm,generation,m1_mean,m1_std,m2_mean,m2_std,m3_mean,m3_std,m5_mean,m5_std,n
opus,ESCALAR,1,1,0,,,0.3333333333333333,0.4714045207910317,,,3
opus,ESCALAR,2,1,0,,,0.3333333333333333,0.4714045207910317,,,3
opus,ESCALAR,3,1,0,,,0.3333333333333333,0.4714045207910317,,,3
opus,ESCALAR,4,1,0,,,1.6666666666666667,1.699673171197595,,,3
opus,ESCALAR,5,1,0,,,4.333333333333333,4.189935029992178,,,3
opus,GRADIENTE,1,1,0,,,1,0,,,3
opus,GRADIENTE,2,1,0,,,3,2.8284271247461903,,,3
opus,GRADIENTE,3,1,0,,,6,5.715476066494082,,,3
opus,GRADIENTE,4,1,0,,,8.333333333333334,5.436502143433364,,,3
opus,GRADIENTE,5,1,0,,,8.666666666666666,5.792715732327589,,,3
