arm,generation,m1_mean,m1_std,m2_mean,m2_std,m3_mean,m3_std
ESCALAR,1,0.3333333333333333,0.4714045207910317,0,0,0.3333333333333333,0.4714045207910317
ESCALAR,2,0.3333333333333333,0.4714045207910317,0.5,0.5,0.6666666666666666,0.4714045207910317
ESCALAR,3,0.6666666666666666,0.4714045207910317,1,0,3,2.8284271247461903
ESCALAR,4,0.3333333333333333,0.4714045207910317,0.5,0.5,5,2.8284271247461903
ESCALAR,5,0.6666666666666666,0.4714045207910317,0,0,9,2.8284271247461903
ESCALAR,6,0.6666666666666666,0.4714045207910317,1,0,13,0
ESCALAR,7,0,0,0.6666666666666666,0.4714045207910317,13,0
ESCALAR,8,0,0,1,0,13,0
ESCALAR,9,0,0,1,0,13,0
ESCALAR,10,0,0,1,0,13,0
GRADIENTE,1,0,0,0,0,0,0
GRADIENTE,2,1,0,,,1,0
GRADIENTE,3,1,0,,,7,0
GRADIENTE,4,1,0,,,13,0
GRADIENTE,5,0,0,0,0,13,0
GRADIENTE,6,0,0,1,0,13,0
GRADIENTE,7,0,0,1,0,13,0
GRADIENTE,8,0,0,1,0,13,0
GRADIENTE,9,0,0,1,0,13,0
GRADIENTE,10,0,0,1,0,13,0
GRADIENTE_SOMBRA,1,1,0,,,1,0
GRADIENTE_SOMBRA,2,1,0,,,7,0
GRADIENTE_SOMBRA,3,1,0,,,13,0
GRADIENTE_SOMBRA,4,0,0,0,0,13,0
GRADIENTE_SOMBRA,5,0,0,1,0,13,0
GRADIENTE_SOMBRA,6,0,0,1,0,13,0
GRADIENTE_SOMBRA,7,0,0,1,0,13,0
GRADIENTE_SOMBRA,8,0,0,1,0,13,0
GRADIENTE_SOMBRA,9,0,0,1,0,13,0
GRADIENTE_SOMBRA,10,0,0,1,0,13,0
